id;screen_name;created_at;fav;rt;text;media1;media2;media3;media4;compound;neg;neu;pos
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628502635723595779"", ""1628502635723595779"")";petrogustavo;22/02/2023;1131;372;Caldono, Cauca. https://t.co/06lK5XtIVD;"=HYPERLINK(""http://pbs.twimg.com/media/FpmacTCWIAAQsuJ.jpg"", ""http://pbs.twimg.com/media/FpmacTCWIAAQsuJ.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628500218718130179"", ""1628500218718130179"")";petrogustavo;22/02/2023;1179;382;https://t.co/8gMf4m3Zob;"=HYPERLINK(""http://pbs.twimg.com/media/FpmXoHHXwAEn08P.jpg"", ""http://pbs.twimg.com/media/FpmXoHHXwAEn08P.jpg"")";"=HYPERLINK(""http://pbs.twimg.com/media/FpmXxntWIAAQeTm.jpg"", ""http://pbs.twimg.com/media/FpmXxntWIAAQeTm.jpg"")";"=HYPERLINK(""http://pbs.twimg.com/media/FpmX8rAWAAEQocD.jpg"", ""http://pbs.twimg.com/media/FpmX8rAWAAEQocD.jpg"")";;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628491397891338241"", ""1628491397891338241"")";petrogustavo;22/02/2023;2808;1126;Desde la red Yxah Wejxia, en el resguardo indígena NASA de Pueblo Nuevo en Caldono, Cauca, emito para toda Colombia.  https://t.co/2numNLFXeY;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628490121027657739"", ""1628490121027657739"")";petrogustavo;22/02/2023;902;257;https://t.co/fPSaXlfQBr;"=HYPERLINK(""http://pbs.twimg.com/media/FpmPIVJX0AMniTf.jpg"", ""http://pbs.twimg.com/media/FpmPIVJX0AMniTf.jpg"")";"=HYPERLINK(""http://pbs.twimg.com/media/FpmPIneXEAAXJ09.jpg"", ""http://pbs.twimg.com/media/FpmPIneXEAAXJ09.jpg"")";;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628489756756660224"", ""1628489756756660224"")";petrogustavo;22/02/2023;1306;437;Esta comunidad de conectividad defiende así su propio idioma, produce televisión local, tiene sus propios técnicos, permite las comunicaciones telefónicas. Se conecta a la fibra óptica que llega a Caldono.;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628489754709721090"", ""1628489754709721090"")";petrogustavo;22/02/2023;4901;1768;"Estoy conectado desde una comunidad de Conectividad llamada Yxah wejxia en el resguardo Nasa de Pueblo Nuevo en Caldono, Cauca. Sirve a 859 personas.

Hay en Colombia mas de 3.000, aqui demuestro que son posibles..";;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628419617621172226"", ""1628419617621172226"")";petrogustavo;22/02/2023;5758;2888;"Ahora cuando el gobierno progresista va a corregir estos desafueros en la salud de los colombianos, ya no aparecen estos artículos sobre la realidad de nuestro actual sistema de salud.

Este era el análisis de Juan Gossaín

https://t.co/ShD56fq0hP";;;;;-296;58;942;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628398917472641025"", ""1628398917472641025"")";petrogustavo;22/02/2023;3151;1239;Las madres comunitarias que trabajaron para el ICBF y la atención de la niñez y ya con sus años cumplidos, recibirán del gobierno un bono pensional. https://t.co/QCRTrkWOrL;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628377993881038850"", ""1628377993881038850"")";petrogustavo;22/02/2023;4607;1402;"En mi gobierno no hay falta de garantías. El taxista es un trabajador, muchas veces una mujer, cabeza de familia y el Estado debe ayudar a dignificar su trabajo.

Las puertas del diálogo están abiertas. https://t.co/n4atsE6bt3";;;;;-296;62;937;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628376739935035392"", ""1628376739935035392"")";petrogustavo;22/02/2023;3821;1761;"¿Qué le pasa a lo medios de comunicación tradicionales de Colombia frente a un gobierno progresista? Un análisis para debatir 

https://t.co/fMhlTgeAMh";;;;;0;0;10;0
